1	新北市	直轄市	3930638
2	高雄市	直轄市	2776204
3	臺中市	直轄市	2677876
4	臺北市	直轄市	2665602
5	桃園縣	縣（準直轄市）	2024100
6	臺南市	直轄市	1879506
7	彰化縣	縣	1299734
8	屏東縣	縣	860044
9	雲林縣	縣	711394
10	苗栗縣	縣	562888
11	嘉義縣	縣	534387
12	新竹縣	縣	521578
13	南投縣	縣	520640
14	宜蘭縣	縣	458550
15	新竹市	市	423318
16	基隆市	市	377744
17	花蓮縣	縣	335522
18	嘉義市	市	271399
19	臺東縣	縣	226778
20	金門縣	縣	109728
21	澎湖縣	縣	98017
22	連江縣	縣	10794
